RA Dec redshift phot_index luminosity nh_values
35.232248199077 -6.1757797998385 1.13164 1.9448 1.8542560675494307e+44 20.61856
35.174425895904 -6.1112019438753 0.4759 1.76768 3.870818491747354e+43 20.94592
35.081722151015 -6.1250135085409 2.42063 2.17871 1.285484784716885e+45 20.20297
35.2100364893 -6.2968227402375 0.4758 1.91201 1.8415544382727567e+44 20.73618
35.103844659677 -6.2921212509712 1.6255 2.59072 1.164891316322808e+46 20.18832
35.13086190753 -5.8758529434581 1.0257 2.29624 2.4961357899558096e+44 20.99404
55.116301158278 -18.57430837598 1.56051 2.12813 1.847102250394682e+45 21.04794
246.82557895948 49.919945764143 0.5258 1.76901 5.249341980482828e+43 20.23922
226.45077832211 3.3174406306658 1.3256 1.5553 8.74777787124881e+44 20.52211
194.3128289206 26.910683101498 2.85376 2.01184 4.0214082610832106e+45 21.11449
194.35027816234 26.966533416329 1.1757 0.94143 3.687781058099452e+44 23.27079
194.63756064613 27.382784818384 1.0757 2.05245 6.025381981032978e+44 21.28916
197.94972074021 23.50735861849 0.076 2.45055 3.697260531442286e+42 20.61837
182.90414644076 39.401805453018 0.6758 1.93614 1.4448676663086342e+44 20.50561
39.7664084111 -27.593750754269 1.9255 1.75258 7.448184634617114e+44 20.68444
39.73392781129 -27.671674195007 2.2754 2.2819 1.0141287137420423e+45 20.5465
39.699759861768 -27.803926175205 2.80769 1.81814 1.0926307806458145e+45 20.92766
133.73511663956 20.102582047125 1.60515 1.61832 1.2266537516874154e+45 20.73465
158.04932977944 64.977605339007 1.28603 2.32272 4.989900899466208e+44 20.58392
158.00420392369 65.043469125425 0.6258 2.0121 2.2665206731815477e+46 20.10945
67.882742736649 -5.2510319222008 0.6758 2.40074 8.376219940465873e+43 20.43924
67.943248101528 -4.990279351455 0.9757 2.10016 2.011616768680009e+44 20.4853
68.001391427003 -5.2062269075153 2.43213 2.28118 2.047895265343724e+45 20.9669
211.14789451395 25.919608260722 1.9255 1.69766 8.557372437096372e+44 20.55735
211.41810089155 25.888240008699 0.5758 1.85015 4.127360932916707e+43 20.95264
211.03090693975 25.979905313256 1.14093 1.93717 7.67215705998023e+44 20.71219
338.90903342442 -25.915001603434 0.9757 1.27249 5.8927124243342055e+44 23.03192
338.74842541199 -25.996151605345 1.13703 2.42406 1.3724832411607351e+45 20.10717
40.278876740575 -8.3335766029454 0.7758 1.70099 2.8521124252819253e+44 22.76249
258.29428403911 43.815306524908 0.3759 1.76201 3.1376979572055997e+43 20.74309
258.38086221267 43.615692522311 0.7757 2.1072 2.792602359187822e+57 20.05311
254.16916200637 27.882530190108 0.4259 1.85081 1.2339114484211826e+44 20.11713
218.77756556395 3.5494178351928 0.1759 1.80865 1.3453286329029802e+43 20.76304
193.14177244116 31.054918625195 0.8258 2.18338 5.316423492788045e+44 20.70219
14.525411945789 30.580993819325 0.03102 2.07067 3.720239866427022e+43 21.74678
